"","deaths","tot"
"Anadaman",0,38
"Andhra",84,6163
"Arunachal",0,91
"Assam",8,4049
"Bihar",39,6470
"Chandigarh",5,352
"Chhattisgarh",8,1662
"Dadra",0,36
"Delhi",1327,41182
"Goa",0,564
"Gujarat",1477,23544
"Haryana",88,7208
"Himachal",7,518
"JK",59,5041
"Jharkhand",8,1745
"Karnataka",86,7000
"Kerala",19,2461
"Ladakh",1,549
"MP",459,10802
"Maharshtra",3950,107958
"Manipur",0,458
"Meghalaya",1,44
"Mizoram",0,112
"Nagaland",0,168
"Odisha",11,3909
"Puducherry",5,194
"Punjab",67,3140
"Rajashthan",292,12694
"Sikkim",0,68
"Tamilnadu",435,44661
"Telangana",185,4974
"Tripura",1,1076
"Uttarakhand",24,1819
"UP",399,13615
"WB",475,11087
